,sensor_id,x,y,z
235,235,114.39,-461.99,-437.48
236,236,114.39,-461.99,-454.5
237,237,114.39,-461.99,-471.52
238,238,114.39,-461.99,-488.54
239,239,114.39,-461.99,-505.56
240,240,237.78,-442.42,501.46
241,241,237.78,-442.42,484.44
242,242,237.78,-442.42,467.42
243,243,237.78,-442.42,450.4
244,244,237.78,-442.42,433.38
245,245,237.78,-442.42,416.36
246,246,237.78,-442.42,399.34
247,247,237.78,-442.42,382.32
248,248,237.78,-442.42,365.3
249,249,237.78,-442.42,348.28
250,250,237.78,-442.42,331.26
251,251,237.78,-442.42,314.24
252,252,237.78,-442.42,297.22
253,253,237.78,-442.42,280.19
254,254,237.78,-442.42,263.17
255,255,237.78,-442.42,246.15
256,256,237.78,-442.42,229.13
257,257,237.78,-442.42,212.11
258,258,237.78,-442.42,195.09
259,259,237.78,-442.42,178.07
260,260,237.78,-442.42,161.05
261,261,237.78,-442.42,144.03
262,262,237.78,-442.42,127.01
263,263,237.78,-442.42,109.99
264,264,237.78,-442.42,92.97
265,265,237.78,-442.42,75.95
266,266,237.78,-442.42,58.93
267,267,237.78,-442.42,41.9
268,268,237.78,-442.42,24.88
269,269,237.78,-442.42,7.86
270,270,237.78,-442.42,-9.16
271,271,237.78,-442.42,-26.18
272,272,237.78,-442.42,-43.2
273,273,237.78,-442.42,-60.22
274,274,237.78,-442.42,-77.24
275,275,237.78,-442.42,-94.26
276,276,237.78,-442.42,-111.28
277,277,237.78,-442.42,-128.3
278,278,237.78,-442.42,-145.32
279,279,237.78,-442.42,-162.34
280,280,237.78,-442.42,-179.37
281,281,237.78,-442.42,-196.39
282,282,237.78,-442.42,-213.41
283,283,237.78,-442.42,-230.43
284,284,237.78,-442.42,-247.45
285,285,237.78,-442.42,-264.47
286,286,237.78,-442.42,-281.49
287,287,237.78,-442.42,-298.51
288,288,237.78,-442.42,-315.53
289,289,237.78,-442.42,-332.55
290,290,237.78,-442.42,-349.57
291,291,237.78,-442.42,-366.59
292,292,237.78,-442.42,-383.61
293,293,237.78,-442.42,-400.64
294,294,237.78,-442.42,-417.66
295,295,237.78,-442.42,-434.68
296,296,237.78,-442.42,-451.7
297,297,237.78,-442.42,-468.72
298,298,237.78,-442.42,-485.74
299,299,237.78,-442.42,-502.76
300,300,361.0,-422.83,499.51
301,301,361.0,-422.83,482.49
302,302,361.0,-422.83,465.47
303,303,361.0,-422.83,448.45
304,304,361.0,-422.83,431.43
305,305,361.0,-422.83,414.41
306,306,361.0,-422.83,397.39
307,307,361.0,-422.83,380.37
308,308,361.0,-422.83,363.35
309,309,361.0,-422.83,346.33
310,310,361.0,-422.83,329.31
311,311,361.0,-422.83,312.29
312,312,361.0,-422.83,295.27
313,313,361.0,-422.83,278.24
314,314,361.0,-422.83,261.22
315,315,361.0,-422.83,244.2
316,316,361.0,-422.83,227.18
317,317,361.0,-422.83,210.16
318,318,361.0,-422.83,193.14
319,319,361.0,-422.83,176.12
320,320,361.0,-422.83,159.1
321,321,361.0,-422.83,142.08
322,322,361.0,-422.83,125.06
323,323,361.0,-422.83,108.04
324,324,361.0,-422.83,91.02
325,325,361.0,-422.83,74.0
326,326,361.0,-422.83,56.98
327,327,361.0,-422.83,39.95
328,328,361.0,-422.83,22.93
329,329,361.0,-422.83,5.91
330,330,361.0,-422.83,-11.11
331,331,361.0,-422.83,-28.13
332,332,361.0,-422.83,-45.15
333,333,361.0,-422.83,-62.17
334,334,361.0,-422.83,-79.19
335,335,361.0,-422.83,-96.21
336,336,361.0,-422.83,-113.23
337,337,361.0,-422.83,-130.25
338,338,361.0,-422.83,-147.27
339,339,361.0,-422.83,-164.29
340,340,361.0,-422.83,-181.32
341,341,361.0,-422.83,-198.34
342,342,361.0,-422.83,-215.36
343,343,361.0,-422.83,-232.38
344,344,361.0,-422.83,-249.4
345,345,361.0,-422.83,-266.42
346,346,361.0,-422.83,-283.44
347,347,361.0,-422.83,-300.46
348,348,361.0,-422.83,-317.48
349,349,361.0,-422.83,-334.5
350,350,361.0,-422.83,-351.52
351,351,361.0,-422.83,-368.54
352,352,361.0,-422.83,-385.56
353,353,361.0,-422.83,-402.59
354,354,361.0,-422.83,-419.61
355,355,361.0,-422.83,-436.63
356,356,361.0,-422.83,-453.65
357,357,361.0,-422.83,-470.67
358,358,361.0,-422.83,-487.69
359,359,361.0,-422.83,-504.71
360,360,-334.8,-424.5,500.59
361,361,-334.8,-424.5,483.57
362,362,-334.8,-424.5,466.55
363,363,-334.8,-424.5,449.53
364,364,-334.8,-424.5,432.51
365,365,-334.8,-424.5,415.49
366,366,-334.8,-424.5,398.47
367,367,-334.8,-424.5,381.45
368,368,-334.8,-424.5,364.43
369,369,-334.8,-424.5,347.41
370,370,-334.8,-424.5,330.39
371,371,-334.8,-424.5,313.37
372,372,-334.8,-424.5,296.35
373,373,-334.8,-424.5,279.32
374,374,-334.8,-424.5,262.3
375,375,-334.8,-424.5,245.28
376,376,-334.8,-424.5,228.26
377,377,-334.8,-424.5,211.24
378,378,-334.8,-424.5,194.22
379,379,-334.8,-424.5,177.2
380,380,-334.8,-424.5,160.18
381,381,-334.8,-424.5,143.16
382,382,-334.8,-424.5,126.14
383,383,-334.8,-424.5,109.12
384,384,-334.8,-424.5,92.1
385,385,-334.8,-424.5,75.08
386,386,-334.8,-424.5,58.06
387,387,-334.8,-424.5,41.03
388,388,-334.8,-424.5,24.01
389,389,-334.8,-424.5,6.99
390,390,-334.8,-424.5,-10.03
391,391,-334.8,-424.5,-27.05
392,392,-334.8,-424.5,-44.07
393,393,-334.8,-424.5,-61.09
394,394,-334.8,-424.5,-78.11
395,395,-334.8,-424.5,-95.13
396,396,-334.8,-424.5,-112.15
397,397,-334.8,-424.5,-129.17
398,398,-334.8,-424.5,-146.19
399,399,-334.8,-424.5,-163.21
400,400,-334.8,-424.5,-180.24
401,401,-334.8,-424.5,-197.26
402,402,-334.8,-424.5,-214.28
403,403,-334.8,-424.5,-231.3
404,404,-334.8,-424.5,-248.32
405,405,-334.8,-424.5,-265.34
406,406,-334.8,-424.5,-282.36
407,407,-334.8,-424.5,-299.38
408,408,-334.8,-424.5,-316.4
409,409,-334.8,-424.5,-333.42
410,410,-334.8,-424.5,-350.44
411,411,-334.8,-424.5,-367.46
412,412,-334.8,-424.5,-384.48
413,413,-334.8,-424.5,-401.51
414,414,-334.8,-424.5,-418.53
415,415,-334.8,-424.5,-435.55
416,416,-334.8,-424.5,-452.57
417,417,-334.8,-424.5,-469.59
418,418,-334.8,-424.5,-486.61
419,419,-334.8,-424.5,-503.63
420,420,-211.35,-404.48,498.63
421,421,-211.35,-404.48,481.61
422,422,-211.35,-404.48,464.59
423,423,-211.35,-404.48,447.56
424,424,-211.35,-404.48,430.54
425,425,-211.35,-404.48,413.52
426,426,-211.35,-404.48,396.5
427,427,-211.35,-404.48,379.48
428,428,-211.35,-404.48,362.46
429,429,-211.35,-404.48,345.44
430,430,-211.35,-404.48,328.42
431,431,-211.35,-404.48,311.4
432,432,-211.35,-404.48,294.38
433,433,-211.35,-404.48,277.36
434,434,-211.35,-404.48,260.34
435,435,-211.35,-404.48,243.32
436,436,-211.35,-404.48,226.29
437,437,-211.35,-404.48,209.27
438,438,-211.35,-404.48,192.25
439,439,-211.35,-404.48,175.23
440,440,-211.35,-404.48,158.21
441,441,-211.35,-404.48,141.19
442,442,-211.35,-404.48,124.17
443,443,-211.35,-404.48,107.15
444,444,-211.35,-404.48,90.13
445,445,-211.35,-404.48,73.11
446,446,-211.35,-404.48,56.09
447,447,-211.35,-404.48,39.07
448,448,-211.35,-404.48,22.05
449,449,-211.35,-404.48,5.02
450,450,-211.35,-404.48,-12.0
451,451,-211.35,-404.48,-29.02
452,452,-211.35,-404.48,-46.04
453,453,-211.35,-404.48,-63.06
454,454,-211.35,-404.48,-80.08
455,455,-211.35,-404.48,-97.1
456,456,-211.35,-404.48,-114.12
457,457,-211.35,-404.48,-131.14
458,458,-211.35,-404.48,-148.16
459,459,-211.35,-404.48,-165.18
460,460,-211.35,-404.48,-182.2
461,461,-211.35,-404.48,-199.22
462,462,-211.35,-404.48,-216.24
463,463,-211.35,-404.48,-233.27
464,464,-211.35,-404.48,-250.29
465,465,-211.35,-404.48,-267.31
466,466,-211.35,-404.48,-284.33
467,467,-211.35,-404.48,-301.35
468,468,-211.35,-404.48,-318.37
469,469,-211.35,-404.48,-335.39
470,470,-211.35,-404.48,-352.41
471,471,-211.35,-404.48,-369.43
472,472,-211.35,-404.48,-386.45
473,473,-211.35,-404.48,-403.47
474,474,-211.35,-404.48,-420.49
475,475,-211.35,-404.48,-437.51
476,476,-211.35,-404.48,-454.54
477,477,-211.35,-404.48,-471.56
478,478,-211.35,-404.48,-490.38
479,479,-211.35,-404.48,-507.4
480,480,-88.05,-384.3,500.02
481,481,-88.05,-384.3,482.99
482,482,-88.05,-384.3,465.97
483,483,-88.05,-384.3,448.95
484,484,-88.05,-384.3,431.93
485,485,-88.05,-384.3,414.91
486,486,-88.05,-384.3,397.89
487,487,-88.05,-384.3,380.87
488,488,-88.05,-384.3,363.85
489,489,-88.05,-384.3,346.83
490,490,-88.05,-384.3,329.81
491,491,-88.05,-384.3,312.79
492,492,-88.05,-384.3,295.77
493,493,-88.05,-384.3,278.75
494,494,-88.05,-384.3,261.72
495,495,-88.05,-384.3,244.7
496,496,-88.05,-384.3,227.68
497,497,-88.05,-384.3,210.66
498,498,-88.05,-384.3,193.64
499,499,-88.05,-384.3,176.62
500,500,-88.05,-384.3,159.6
501,501,-88.05,-384.3,142.58
502,502,-88.05,-384.3,125.56
503,503,-88.05,-384.3,108.54
504,504,-88.05,-384.3,91.52
505,505,-88.05,-384.3,74.5
506,506,-88.05,-384.3,57.48
507,507,-88.05,-384.3,40.46
508,508,-88.05,-384.3,23.43
509,509,-88.05,-384.3,6.41
510,510,-88.05,-384.3,-10.61
511,511,-88.05,-384.3,-27.63
512,512,-88.05,-384.3,-44.65
513,513,-88.05,-384.3,-61.67
514,514,-88.05,-384.3,-78.69
515,515,-88.05,-384.3,-95.71
516,516,-88.05,-384.3,-112.73
517,517,-88.05,-384.3,-129.75
518,518,-88.05,-384.3,-146.77
519,519,-88.05,-384.3,-163.79
520,520,-88.05,-384.3,-180.81
521,521,-88.05,-384.3,-197.84
522,522,-88.05,-384.3,-214.86
523,523,-88.05,-384.3,-231.88
524,524,-88.05,-384.3,-248.9
525,525,-88.05,-384.3,-265.92
526,526,-88.05,-384.3,-282.94
527,527,-88.05,-384.3,-299.96
528,528,-88.05,-384.3,-316.98
529,529,-88.05,-384.3,-334.0
530,530,-88.05,-384.3,-351.02
531,531,-88.05,-384.3,-368.04
532,532,-88.05,-384.3,-385.06
533,533,-88.05,-384.3,-402.08
534,534,-88.05,-384.3,-419.11
535,535,-88.05,-384.3,-436.13
536,536,-88.05,-384.3,-453.15
537,537,-88.05,-384.3,-470.17
538,538,-88.05,-384.3,-487.19
539,539,-88.05,-384.3,-504.83
540,540,35.54,-364.83,497.71
541,541,35.54,-364.83,480.69
542,542,35.54,-364.83,463.67
543,543,35.54,-364.83,446.65
544,544,35.54,-364.83,429.63
545,545,35.54,-364.83,412.61
546,546,35.54,-364.83,395.59
547,547,35.54,-364.83,378.57
548,548,35.54,-364.83,361.55
549,549,35.54,-364.83,344.53
550,550,35.54,-364.83,327.51
551,551,35.54,-364.83,310.49
552,552,35.54,-364.83,293.47
553,553,35.54,-364.83,276.44
554,554,35.54,-364.83,259.42
555,555,35.54,-364.83,242.4
556,556,35.54,-364.83,225.38
557,557,35.54,-364.83,208.36
558,558,35.54,-364.83,191.34
559,559,35.54,-364.83,174.32
560,560,35.54,-364.83,157.3
561,561,35.54,-364.83,140.28
562,562,35.54,-364.83,123.26
563,563,35.54,-364.83,106.24
564,564,35.54,-364.83,89.22
565,565,35.54,-364.83,72.2
566,566,35.54,-364.83,55.18
567,567,35.54,-364.83,38.15
568,568,35.54,-364.83,21.13
569,569,35.54,-364.83,4.11
570,570,35.54,-364.83,-12.91
571,571,35.54,-364.83,-29.93
572,572,35.54,-364.83,-46.95
573,573,35.54,-364.83,-63.97
574,574,35.54,-364.83,-80.99
575,575,35.54,-364.83,-98.01
576,576,35.54,-364.83,-115.03
577,577,35.54,-364.83,-132.05
578,578,35.54,-364.83,-149.07
579,579,35.54,-364.83,-166.09
580,580,35.54,-364.83,-183.12
581,581,35.54,-364.83,-200.14
582,582,35.54,-364.83,-217.16
583,583,35.54,-364.83,-234.18
584,584,35.54,-364.83,-251.2
585,585,35.54,-364.83,-268.22
586,586,35.54,-364.83,-285.24
587,587,35.54,-364.83,-302.26
588,588,35.54,-364.83,-319.28
589,589,35.54,-364.83,-336.3
590,590,35.54,-364.83,-353.32
591,591,35.54,-364.83,-370.34
592,592,35.54,-364.83,-387.36
593,593,35.54,-364.83,-404.39
594,594,35.54,-364.83,-421.41
595,595,35.54,-364.83,-438.43
596,596,35.54,-364.83,-455.45
597,597,35.54,-364.83,-472.47
598,598,35.54,-364.83,-489.49
599,599,35.54,-364.83,-506.51
600,600,158.94,-345.23,499.83
601,601,158.94,-345.23,482.81
602,602,158.94,-345.23,465.79
603,603,158.94,-345.23,448.77
604,604,158.94,-345.23,431.75
605,605,158.94,-345.23,414.73
606,606,158.94,-345.23,397.71
607,607,158.94,-345.23,380.69
608,608,158.94,-345.23,363.67
609,609,158.94,-345.23,346.65
610,610,158.94,-345.23,329.63
611,611,158.94,-345.23,312.61
612,612,158.94,-345.23,295.59
613,613,158.94,-345.23,278.56
614,614,158.94,-345.23,261.54
615,615,158.94,-345.23,244.52
616,616,158.94,-345.23,227.5
617,617,158.94,-345.23,210.48
618,618,158.94,-345.23,193.46
619,619,158.94,-345.23,176.44
620,620,158.94,-345.23,159.42
621,621,158.94,-345.23,142.4
622,622,158.94,-345.23,125.38
623,623,158.94,-345.23,108.36
624,624,158.94,-345.23,91.34
625,625,158.94,-345.23,74.32
626,626,158.94,-345.23,57.3
627,627,158.94,-345.23,40.27
628,628,158.94,-345.23,23.25
629,629,158.94,-345.23,6.23
630,630,158.94,-345.23,-10.79
631,631,158.94,-345.23,-27.81
632,632,158.94,-345.23,-44.83
633,633,158.94,-345.23,-61.85
634,634,158.94,-345.23,-78.87
635,635,158.94,-345.23,-95.89
636,636,158.94,-345.23,-112.91
637,637,158.94,-345.23,-129.93
638,638,158.94,-345.23,-146.95
639,639,158.94,-345.23,-163.97
640,640,158.94,-345.23,-181.0
641,641,158.94,-345.23,-198.02
642,642,158.94,-345.23,-215.04
643,643,158.94,-345.23,-232.06
644,644,158.94,-345.23,-249.08
645,645,158.94,-345.23,-266.1
646,646,158.94,-345.23,-283.12
647,647,158.94,-345.23,-300.14
648,648,158.94,-345.23,-317.16
649,649,158.94,-345.23,-334.18
650,650,158.94,-345.23,-351.2
651,651,158.94,-345.23,-368.22
652,652,158.94,-345.23,-385.24
653,653,158.94,-345.23,-402.27
654,654,158.94,-345.23,-419.29
655,655,158.94,-345.23,-436.31
656,656,158.94,-345.23,-453.33
657,657,158.94,-345.23,-470.35
658,658,158.94,-345.23,-487.37
659,659,158.94,-345.23,-504.39
660,660,282.18,-325.74,498.44
661,661,282.18,-325.74,481.42
662,662,282.18,-325.74,464.4
663,663,282.18,-325.74,447.38
664,664,282.18,-325.74,430.36
665,665,282.18,-325.74,413.34
666,666,282.18,-325.74,396.32
667,667,282.18,-325.74,379.3
668,668,282.18,-325.74,362.28
669,669,282.18,-325.74,345.26
670,670,282.18,-325.74,328.24
671,671,282.18,-325.74,311.22
672,672,282.18,-325.74,294.2
673,673,282.18,-325.74,277.17
674,674,282.18,-325.74,260.15
675,675,282.18,-325.74,243.13
676,676,282.18,-325.74,226.11
677,677,282.18,-325.74,209.09
678,678,282.18,-325.74,192.07
679,679,282.18,-325.74,175.05
680,680,282.18,-325.74,158.03
681,681,282.18,-325.74,141.01
682,682,282.18,-325.74,123.99
683,683,282.18,-325.74,106.97
684,684,282.18,-325.74,89.95
685,685,282.18,-325.74,72.93
686,686,282.18,-325.74,55.91
687,687,282.18,-325.74,38.88
688,688,282.18,-325.74,21.86
689,689,282.18,-325.74,4.84
690,690,282.18,-325.74,-12.18
691,691,282.18,-325.74,-29.2
692,692,282.18,-325.74,-46.22
693,693,282.18,-325.74,-63.24
694,694,282.18,-325.74,-80.26
695,695,282.18,-325.74,-97.28
696,696,282.18,-325.74,-114.3
697,697,282.18,-325.74,-131.32
698,698,282.18,-325.74,-148.34
699,699,282.18,-325.74,-165.36
700,700,282.18,-325.74,-182.39
701,701,282.18,-325.74,-199.41
702,702,282.18,-325.74,-216.43
703,703,282.18,-325.74,-233.45
704,704,282.18,-325.74,-250.47
705,705,282.18,-325.74,-267.49
706,706,282.18,-325.74,-284.51
707,707,282.18,-325.74,-301.53
708,708,282.18,-325.74,-318.55
709,709,282.18,-325.74,-335.57
710,710,282.18,-325.74,-352.59
711,711,282.18,-325.74,-369.61
712,712,282.18,-325.74,-386.63
713,713,282.18,-325.74,-403.66
714,714,282.18,-325.74,-420.68
715,715,282.18,-325.74,-437.7
716,716,282.18,-325.74,-454.72
717,717,282.18,-325.74,-471.74
718,718,282.18,-325.74,-488.76
719,719,282.18,-325.74,-505.78
720,720,405.83,-306.38,495.13
721,721,405.83,-306.38,478.11
722,722,405.83,-306.38,461.09
723,723,405.83,-306.38,444.07
724,724,405.83,-306.38,427.05
725,725,405.83,-306.38,410.03
726,726,405.83,-306.38,393.01
727,727,405.83,-306.38,375.99
728,728,405.83,-306.38,358.97
729,729,405.83,-306.38,341.95
730,730,405.83,-306.38,324.93
731,731,405.83,-306.38,307.91
732,732,405.83,-306.38,290.89
733,733,405.83,-306.38,273.86
734,734,405.83,-306.38,256.84
735,735,405.83,-306.38,239.82
736,736,405.83,-306.38,222.8
737,737,405.83,-306.38,205.78
738,738,405.83,-306.38,188.76
739,739,405.83,-306.38,171.74
740,740,405.83,-306.38,154.72
741,741,405.83,-306.38,137.7
742,742,405.83,-306.38,120.68
743,743,405.83,-306.38,103.66
744,744,405.83,-306.38,86.64
745,745,405.83,-306.38,69.62
746,746,405.83,-306.38,52.6
747,747,405.83,-306.38,35.57
748,748,405.83,-306.38,18.55
749,749,405.83,-306.38,1.53
750,750,405.83,-306.38,-15.49
751,751,405.83,-306.38,-32.51
752,752,405.83,-306.38,-49.53
753,753,405.83,-306.38,-66.55
754,754,405.83,-306.38,-83.57
755,755,405.83,-306.38,-100.59
756,756,405.83,-306.38,-117.61
757,757,405.83,-306.38,-134.63
758,758,405.83,-306.38,-151.65
759,759,405.83,-306.38,-168.67
760,760,405.83,-306.38,-185.7
761,761,405.83,-306.38,-202.72
762,762,405.83,-306.38,-219.74
763,763,405.83,-306.38,-236.76
764,764,405.83,-306.38,-253.78
765,765,405.83,-306.38,-270.8
766,766,405.83,-306.38,-287.82
767,767,405.83,-306.38,-304.84
768,768,405.83,-306.38,-321.86
769,769,405.83,-306.38,-338.88
770,770,405.83,-306.38,-355.9
771,771,405.83,-306.38,-372.92
772,772,405.83,-306.38,-389.94
773,773,405.83,-306.38,-406.97
774,774,405.83,-306.38,-423.99
775,775,405.83,-306.38,-441.01
776,776,405.83,-306.38,-458.03
777,777,405.83,-306.38,-475.05
